experiment_name,dataset,total_boards,mean_incorrect_corners_per_board,percent_no_mistakes,percent_le_one_mistake,per_corner_error_rate,boards_with_no_mistakes,total_incorrect_corners,avg_pixel_error
baseline,./Data/train/,4400,0.010454545,99.15909091,99.93181818,0.261363636,4363,46,1.931495609
TARGET_WIDTH_1000,./Data/train/,4400,0.036136364,97.88636364,99.5,0.903409091,4307,159,3.999959862
TARGET_WIDTH_800,./Data/train/,4400,0.099545455,95.47727273,98.15909091,2.488636364,4201,438,19.64443674
TARGET_WIDTH_1500,./Data/train/,4400,0.026136364,98.04545455,99.75,0.653409091,4314,115,2.966140901
canny_50_150,./Data/train/,4400,3.773636364,4.75,5.886363636,94.34090909,209,16604,1353.103786
canny_100_200,./Data/train/,4400,0.176363636,93.95454545,96.09090909,4.409090909,4134,776,5.04879813
canny_90_300,./Data/train/,4400,0.012045455,98.93181818,99.95454545,0.301136364,4353,53,1.941527891
canny_120_300,./Data/train/,4400,0.011590909,99.04545455,99.93181818,0.289772727,4358,51,1.934067106
canny_80_350,./Data/train/,4400,0.011363636,99,99.95454545,0.284090909,4356,50,1.938840872
canny_90_350,./Data/train/,4400,0.009772727,99.18181818,99.93181818,0.244318182,4364,43,1.924405475
canny_120_350,./Data/train/,4400,0.011136364,99.15909091,99.90909091,0.278409091,4363,49,2.256720064
canny_120_400,./Data/train/,4400,0.0125,99.15909091,99.86363636,0.3125,4363,55,2.908308984
hough_100,./Data/train/,4400,0.078636364,92.86363636,99.47727273,1.965909091,4086,346,1.920588516
hough_125,./Data/train/,4400,0.032045455,97.06818182,99.86363636,0.801136364,4271,141,1.898816761
hough_165,./Data/train/,4400,0.008181818,99.38636364,99.93181818,0.204545455,4373,36,1.785268528
hough_170,./Data/train/,4400,0.005681818,99.56818182,99.95454545,0.142045455,4381,25,1.739437977
hough_175,./Data/train/,4400,0.004318182,99.70454545,99.95454545,0.107954545,4387,19,1.711640744
hough_180,./Data/train/,4400,0.0075,99.59090909,99.88636364,0.1875,4382,33,2.675882736
hough_200,./Data/train/,4400,0.028863636,99.15909091,99.31818182,0.721590909,4363,127,9.932340236
DBSCAN_8,./Data/train/,4400,0.010909091,99.11363636,99.93181818,0.272727273,4361,48,1.931277016
DBSCAN_10,./Data/train/,4400,0.011136364,99.09090909,99.93181818,0.278409091,4360,49,1.933037953
DBSCAN_15,./Data/train/,4400,0.010909091,99.13636364,99.90909091,0.272727273,4362,48,1.931629894
DBSCAN_20,./Data/train/,4400,0.010227273,99.18181818,99.93181818,0.255681818,4364,45,1.930926531
baseline,./Data/val/,146,0.01369863,98.63013699,100,0.342465753,144,2,1.285103067
DBSCAN_12_optimized,./Data/val/,146,0.006849315,99.31506849,100,0.171232877,145,1,1.054913705
DBSCAN_20_optimized,./Data/val/,146,0.006849315,99.31506849,100,0.171232877,145,1,1.054414697
DBSCAN_20_optimized,./Data/test/,342,0.005847953,99.41520468,100,0.14619883,340,2,1.078650089
